Order Date,Order ID,Quantity,Customer Name,Segment,Product Name,Category,Sub-Category,Manufacturer,City,State,Region,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Sales,PPU Before Discount,Profit Margin,Dispatch time,Shipping Cost,"c_name, city, state",High / Low / Loss
2015-01-13,CA-2015-100916,4,Frank Hawley,Corporate,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon,Newport News,Virginia,South,2015-01-18,Standard Class,0.00,112.00,0.19,591.00,147.75,0.19,5,5.20,Frank HawleyNewport News,High
2015-01-13,CA-2015-100972,3,Dennis Bolton,Home Office,Xerox 1888,Office Supplies,Paper,Xerox,Salt Lake City,Utah,West,2015-01-16,Second Class,0.00,80.00,0.48,166.00,55.33,0.48,3,0.28,Dennis BoltonSalt Lake City,High
2015-01-13,CA-2015-101147,1,Matt Collins,Consumer,Staple holder,Office Supplies,Appliances,Staple holder,Chicago,Illinois,Central,2015-01-19,First Class,0.80,-6.00,-2.65,2.00,10.00,-3.00,6,15.15,Matt CollinsChicago,Loss
2015-01-13,CA-2015-101175,6,Dario Medina,Corporate,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco,Mesa,Arizona,West,2015-01-15,Standard Class,0.20,-1.00,-0.01,101.00,21.04,-0.01,2,10.67,Dario MedinaMesa,Loss
2015-01-13,CA-2015-101266,2,Michael Moore,Consumer,Xerox 1898,Office Supplies,Paper,Xerox,Springfield,Virginia,South,2015-01-14,Second Class,0.00,6.00,0.48,13.00,6.50,0.46,1,8.55,Michael MooreSpringfield,Low
2015-01-13,CA-2015-101364,13,Tamara Willingham,Home Office,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,Other,New York City,New York,East,2015-01-21,Standard Class,0.20,100.00,0.34,297.00,28.56,0.34,8,10.09,Tamara WillinghamNew York City,High
2015-01-14,CA-2015-101392,7,Ann Steele,Home Office,Advantus Rolling Drawer Organizers,Office Supplies,Storage,Advantus,Seattle,Washington,West,2015-01-24,Standard Class,0.00,70.00,0.26,269.00,38.43,0.26,10,7.00,Ann SteeleSeattle,High
2015-01-15,CA-2015-101427,3,Andy Yotov,Corporate,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Art,Eldon,Philadelphia,Pennsylvania,East,2015-01-18,Standard Class,0.20,1.00,0.14,8.00,3.33,0.13,3,7.98,Andy YotovPhiladelphia,Low
2015-01-16,CA-2015-101462,4,Benjamin Patterson,Consumer,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,GE,Los Angeles,California,West,2015-01-20,Standard Class,0.00,28.00,0.46,60.00,15.00,0.47,4,14.86,Benjamin PattersonLos Angeles,Low
2015-01-16,CA-2015-101476,1,Shirley Daniels,Home Office,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Epson,New Rochelle,New York,East,2015-01-19,First Class,0.00,30.00,0.43,70.00,70.00,0.43,3,18.39,Shirley DanielsNew Rochelle,Low
2015-01-16,CA-2015-101560,4,Chris Selesnick,Corporate,Crayola Colored Pencils,Office Supplies,Art,Crayola,Columbia,South Carolina,South,2015-01-28,Second Class,0.00,4.00,0.33,13.00,3.25,0.31,12,9.62,Chris SelesnickColumbia,Low
2015-01-16,CA-2015-101560,3,Chris Selesnick,Corporate,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,GBC,Columbia,South Carolina,South,2015-01-28,Second Class,0.00,22.00,0.49,46.00,15.33,0.48,12,9.62,Chris SelesnickColumbia,Low
2015-01-18,CA-2015-101560,7,Chris Selesnick,Corporate,Xerox 1933,Office Supplies,Paper,Xerox,Columbia,South Carolina,South,2015-01-28,Second Class,0.00,40.00,0.47,86.00,12.29,0.47,10,9.62,Chris SelesnickColumbia,Low
2015-01-19,CA-2015-101560,5,Chris Selesnick,Corporate,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Eldon,Columbia,South Carolina,South,2015-01-28,Second Class,0.00,44.00,0.11,398.00,79.60,0.11,9,9.62,Chris SelesnickColumbia,High
2015-01-19,CA-2015-101602,3,Mick Crebagga,Consumer,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,Other,El Paso,Texas,Central,2015-01-31,First Class,0.20,-9.00,-0.23,41.00,17.08,-0.22,12,15.45,Mick CrebaggaEl Paso,Loss
2015-01-19,CA-2015-101602,5,Mick Crebagga,Consumer,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Other,El Paso,Texas,Central,2015-01-31,First Class,0.30,-22.00,-0.03,763.00,218.00,-0.03,12,15.45,Mick CrebaggaEl Paso,Loss
2015-01-19,CA-2015-101770,1,Karen Bern,Corporate,Avery Hole Reinforcements,Office Supplies,Binders,Avery,Miami,Florida,South,2015-01-25,Standard Class,0.70,-1.00,-0.70,2.00,6.67,-0.50,6,7.26,Karen BernMiami,Loss
2015-01-20,CA-2015-101833,3,Frank Gastineau,Home Office,Southworth 100% Cotton The Best Paper,Office Supplies,Paper,Southworth,New York City,New York,East,2015-01-23,Second Class,0.00,17.00,0.50,34.00,11.33,0.50,3,0.94,Frank GastineauNew York City,Low
2015-01-20,CA-2015-101931,2,Todd Sumrall,Corporate,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,Other,Los Angeles,California,West,2015-01-23,First Class,0.00,0.00,0.01,6.00,3.00,0.00,3,18.39,Todd SumrallLos Angeles,Loss
2015-01-20,CA-2015-101931,2,Todd Sumrall,Corporate,Avery Non-Stick Binders,Office Supplies,Binders,Avery,Los Angeles,California,West,2015-01-23,First Class,0.20,2.00,0.31,7.00,4.38,0.29,3,18.39,Todd SumrallLos Angeles,Low
2015-01-20,CA-2015-101931,5,Todd Sumrall,Corporate,Eldon Portable Mobile Manager,Office Supplies,Storage,Eldon,Los Angeles,California,West,2015-01-23,First Class,0.00,38.00,0.27,141.00,28.20,0.27,3,18.39,Todd SumrallLos Angeles,Low
2015-01-20,CA-2015-101931,2,Todd Sumrall,Corporate,Premier Automatic Letter Opener,Office Supplies,Supplies,Other,Los Angeles,California,West,2015-01-23,First Class,0.00,14.00,0.03,481.00,240.50,0.03,3,18.39,Todd SumrallLos Angeles,Low
2015-01-20,CA-2015-101931,6,Todd Sumrall,Corporate,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,O'Sullivan,Los Angeles,California,West,2015-01-23,First Class,0.15,-36.00,-0.06,617.00,120.98,-0.06,3,18.39,Todd SumrallLos Angeles,Loss
2015-01-20,CA-2015-102008,1,Russell Applegate,Consumer,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,Other,New York City,New York,East,2015-02-01,Standard Class,0.00,24.00,0.50,49.00,49.00,0.49,12,10.09,Russell ApplegateNew York City,Low
2015-01-20,CA-2015-102085,4,Joy Daniels,Consumer,Avery 519,Office Supplies,Labels,Avery,Seattle,Washington,West,2015-01-22,Standard Class,0.00,14.00,0.47,29.00,7.25,0.48,2,7.00,Joy DanielsSeattle,Low
2015-01-20,CA-2015-102274,3,Dave Hallsten,Corporate,Newell 322,Office Supplies,Art,Newell,Richmond,Kentucky,South,2015-01-21,Standard Class,0.00,1.00,0.27,5.00,1.67,0.20,1,12.51,Dave HallstenRichmond,Low
2015-01-20,CA-2015-102274,1,Dave Hallsten,Corporate,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech,Richmond,Kentucky,South,2015-01-21,Standard Class,0.00,10.00,0.27,37.00,37.00,0.27,1,12.51,Dave HallstenRichmond,Low
2015-01-20,CA-2015-102274,3,Dave Hallsten,Corporate,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,Space Solutions,Richmond,Kentucky,South,2015-01-21,Standard Class,0.00,10.00,0.05,194.00,64.67,0.05,1,12.51,Dave HallstenRichmond,Low
2015-01-20,CA-2015-102274,6,Dave Hallsten,Corporate,Multicolor Computer Printout Paper,Office Supplies,Paper,Other,Richmond,Kentucky,South,2015-01-21,Standard Class,0.00,302.00,0.48,629.00,104.83,0.48,1,12.51,Dave HallstenRichmond,High
2015-01-20,CA-2015-102295,1,Erica Hackney,Consumer,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,Global,Sacramento,California,West,2015-01-28,Second Class,0.20,-18.00,-0.15,121.00,151.25,-0.15,8,7.86,Erica HackneySacramento,Loss
2015-01-20,CA-2015-102330,6,Arianne Irving,Consumer,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,Brentwood,California,West,2015-01-31,Standard Class,0.00,44.00,0.50,89.00,14.83,0.49,11,9.86,Arianne IrvingBrentwood,High
2015-01-20,CA-2015-102330,4,Arianne Irving,Consumer,HTC One,Technology,Phones,HTC,Brentwood,California,West,2015-01-31,Standard Class,0.20,36.00,0.11,320.00,100.00,0.11,11,9.86,Arianne IrvingBrentwood,High
2015-01-20,CA-2015-102645,6,Ionia McGrath,Consumer,Xerox 195,Office Supplies,Paper,Xerox,Las Vegas,Nevada,West,2015-01-31,Standard Class,0.00,19.00,0.48,40.00,6.67,0.48,11,9.59,Ionia McGrathLas Vegas,Low
2015-01-20,CA-2015-102652,3,Andy Yotov,Corporate,Xerox 211,Office Supplies,Paper,Xerox,Los Angeles,California,West,2015-01-23,Standard Class,0.00,9.00,0.48,19.00,6.33,0.47,3,14.86,Andy YotovLos Angeles,Low
2015-01-21,CA-2015-102652,7,Andy Yotov,Corporate,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,C-Line,Los Angeles,California,West,2015-01-23,Standard Class,0.00,13.00,0.39,33.00,4.71,0.39,2,14.86,Andy YotovLos Angeles,Low
2015-01-23,CA-2015-102652,1,Andy Yotov,Corporate,Xerox 194,Office Supplies,Paper,Xerox,Los Angeles,California,West,2015-01-23,Standard Class,0.00,27.00,0.48,55.00,55.00,0.49,0,14.86,Andy YotovLos Angeles,Low
2015-01-23,CA-2015-102652,2,Andy Yotov,Corporate,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,Tenex,Los Angeles,California,West,2015-01-23,Standard Class,0.00,16.00,0.17,92.00,46.00,0.17,0,14.86,Andy YotovLos Angeles,Low
2015-01-26,CA-2015-102673,5,Ken Heidel,Corporate,Staples,Office Supplies,Fasteners,Other,Charlotte,North Carolina,South,2015-02-02,Standard Class,0.20,1.00,0.19,8.00,2.00,0.13,7,7.75,Ken HeidelCharlotte,Low
2015-01-26,CA-2015-102673,3,Ken Heidel,Corporate,Newell 320,Office Supplies,Art,Newell,Charlotte,North Carolina,South,2015-02-02,Standard Class,0.20,1.00,0.09,10.00,4.17,0.10,7,7.75,Ken HeidelCharlotte,Low
2015-01-26,CA-2015-102673,12,Ken Heidel,Corporate,Avery 513,Office Supplies,Labels,Avery,Charlotte,North Carolina,South,2015-02-02,Standard Class,0.20,16.00,0.33,48.00,5.00,0.33,7,7.75,Ken HeidelCharlotte,Low
2015-01-26,CA-2015-102673,9,Ken Heidel,Corporate,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,Cisco,Charlotte,North Carolina,South,2015-02-02,Standard Class,0.20,110.00,0.11,979.00,135.97,0.11,7,7.75,Ken HeidelCharlotte,High
2015-01-26,CA-2015-102869,3,Logan Currie,Consumer,Xerox 210,Office Supplies,Paper,Xerox,Philadelphia,Pennsylvania,East,2015-02-04,Second Class,0.20,5.00,0.35,16.00,6.67,0.31,9,6.23,Logan CurriePhiladelphia,Low
2015-01-26,CA-2015-102869,3,Logan Currie,Consumer,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,Master Caster,Philadelphia,Pennsylvania,East,2015-02-04,Second Class,0.20,5.00,0.29,17.00,7.08,0.29,9,6.23,Logan CurriePhiladelphia,Low
2015-01-26,CA-2015-102869,6,Logan Currie,Consumer,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,Other,Philadelphia,Pennsylvania,East,2015-02-04,Second Class,0.20,-5.00,-0.08,65.00,13.54,-0.08,9,6.23,Logan CurriePhiladelphia,Loss
2015-01-26,CA-2015-102869,1,Logan Currie,Consumer,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,Polycom,Philadelphia,Pennsylvania,East,2015-02-04,Second Class,0.40,-32.00,-0.23,136.00,226.67,-0.24,9,6.23,Logan CurriePhiladelphia,Loss
2015-01-26,CA-2015-102988,2,Greg Maxwell,Corporate,Xerox 1957,Office Supplies,Paper,Xerox,Alexandria,Virginia,South,2015-02-01,Second Class,0.00,6.00,0.49,13.00,6.50,0.46,6,1.91,Greg MaxwellAlexandria,Low
2015-01-27,CA-2015-102988,7,Greg Maxwell,Corporate,Crayola Colored Pencils,Office Supplies,Art,Crayola,Alexandria,Virginia,South,2015-02-01,Second Class,0.00,8.00,0.33,23.00,3.29,0.35,5,1.91,Greg MaxwellAlexandria,Low
2015-01-27,CA-2015-102988,7,Greg Maxwell,Corporate,Newell 321,Office Supplies,Art,Newell,Alexandria,Virginia,South,2015-02-01,Second Class,0.00,7.00,0.29,23.00,3.29,0.30,5,1.91,Greg MaxwellAlexandria,Low
2015-01-27,CA-2015-102988,1,Greg Maxwell,Corporate,AT&T CL82213,Technology,Phones,AT&T,Alexandria,Virginia,South,2015-02-01,Second Class,0.00,8.00,0.29,29.00,29.00,0.28,5,1.91,Greg MaxwellAlexandria,Low
2015-01-28,CA-2015-102988,5,Greg Maxwell,Corporate,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Martin-Yale,Alexandria,Virginia,South,2015-02-01,Second Class,0.00,83.00,0.02,"4,164.00",832.80,0.02,4,1.91,Greg MaxwellAlexandria,High
2015-01-30,CA-2015-103058,2,Alejandro Grove,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,New York City,New York,East,2015-02-07,First Class,0.00,8.00,0.08,100.00,50.00,0.08,8,23.55,Alejandro GroveNew York City,Low
2015-01-30,CA-2015-103086,2,Evan Bailliet,Consumer,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.,Houston,Texas,Central,2015-02-03,Second Class,0.60,-2.00,-0.30,5.00,6.25,-0.40,4,9.96,Evan BaillietHouston,Loss
2015-01-31,CA-2015-103100,1,Adrian Barton,Consumer,Avery 487,Office Supplies,Labels,Avery,Indianapolis,Indiana,Central,2015-02-08,First Class,0.00,2.00,0.47,4.00,4.00,0.50,8,22.90,Adrian BartonIndianapolis,Low
2015-02-01,CA-2015-103100,3,Adrian Barton,Consumer,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,Ibico,Indianapolis,Indiana,Central,2015-02-08,First Class,0.00,497.00,0.45,"1,104.00",368.00,0.45,7,22.90,Adrian BartonIndianapolis,High
2015-02-02,CA-2015-103191,3,Vivek Grady,Corporate,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,SAFCO,Chicago,Illinois,Central,2015-02-04,Standard Class,0.20,-83.00,-0.25,332.00,138.33,-0.25,2,13.20,Vivek GradyChicago,Loss
2015-02-02,CA-2015-103219,9,Benjamin Farhat,Home Office,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,Eldon,New York City,New York,East,2015-02-04,Standard Class,0.00,21.00,0.38,57.00,6.33,0.37,2,10.09,Benjamin FarhatNew York City,Low
2015-02-02,CA-2015-103310,2,Greg Matthias,Consumer,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Southworth,San Jose,California,West,2015-02-03,Standard Class,0.00,19.00,0.48,40.00,20.00,0.48,1,11.02,Greg MatthiasSan Jose,Low
2015-02-03,CA-2015-103310,6,Greg Matthias,Consumer,Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,Acme,San Jose,California,West,2015-02-03,Standard Class,0.00,11.00,0.27,41.00,6.83,0.27,0,11.02,Greg MatthiasSan Jose,Low
2015-02-03,CA-2015-103310,1,Greg Matthias,Consumer,Hon Pagoda Stacking Chairs,Furniture,Chairs,Hon,San Jose,California,West,2015-02-03,Standard Class,0.20,32.00,0.13,257.00,321.25,0.12,0,11.02,Greg MatthiasSan Jose,High
2015-02-04,CA-2015-103310,5,Greg Matthias,Consumer,Wilson Electronics DB Pro Signal Booster,Technology,Phones,Other,San Jose,California,West,2015-02-04,Standard Class,0.20,125.00,0.09,"1,432.00",358.00,0.09,0,11.02,Greg MatthiasSan Jose,High
2015-02-04,CA-2015-103317,5,Don Miller,Corporate,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,Wilson Jones,Palm Coast,Florida,South,2015-02-05,First Class,0.70,-7.00,-0.70,10.00,6.67,-0.70,1,20.66,Don MillerPalm Coast,Loss
2015-02-04,CA-2015-103317,2,Don Miller,Corporate,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,Advantus,Palm Coast,Florida,South,2015-02-05,First Class,0.20,5.00,0.28,20.00,12.50,0.25,1,20.66,Don MillerPalm Coast,Low
2015-02-06,CA-2015-103317,3,Don Miller,Corporate,Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings,Luxo,Palm Coast,Florida,South,2015-02-06,First Class,0.20,16.00,0.08,213.00,88.75,0.08,0,20.66,Don MillerPalm Coast,Low
2015-02-06,CA-2015-103331,1,Karl Braun,Consumer,Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,Paper,Other,Newark,Delaware,East,2015-02-07,Standard Class,0.00,2.00,0.46,3.00,3.00,0.67,1,14.31,Karl BraunNewark,Low
2015-02-06,CA-2015-103331,4,Karl Braun,Consumer,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,Other,Newark,Delaware,East,2015-02-07,Standard Class,0.00,4.00,0.38,11.00,2.75,0.36,1,14.31,Karl BraunNewark,Low
2015-02-06,CA-2015-103331,3,Karl Braun,Consumer,Xerox 1978,Office Supplies,Paper,Xerox,Newark,Delaware,East,2015-02-07,Standard Class,0.00,8.00,0.49,17.00,5.67,0.47,1,14.31,Karl BraunNewark,Low
2015-02-07,CA-2015-103366,5,Erica Hackney,Consumer,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,Roswell,Georgia,South,2015-02-14,First Class,0.00,66.00,0.44,150.00,30.00,0.44,7,22.25,Erica HackneyRoswell,High
2015-02-07,CA-2015-103373,2,Bruce Stewart,Consumer,Apple iPhone 5,Technology,Phones,Apple,Cleveland,Ohio,East,2015-02-19,Standard Class,0.40,-169.00,-0.22,780.00,650.00,-0.22,12,10.45,Bruce StewartCleveland,Loss
2015-02-08,CA-2015-103401,2,Georgia Rosenberg,Corporate,Xerox 211,Office Supplies,Paper,Xerox,San Francisco,California,West,2015-02-10,Standard Class,0.00,6.00,0.48,13.00,6.50,0.46,2,10.99,Georgia RosenbergSan Francisco,Low
2015-02-11,CA-2015-103429,2,Laurel Workman,Corporate,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders,GBC,New York City,New York,East,2015-02-23,First Class,0.20,9.00,0.35,26.00,16.25,0.35,12,23.55,Laurel WorkmanNew York City,Low
2015-02-11,CA-2015-103429,4,Laurel Workman,Corporate,Xerox 1948,Office Supplies,Paper,Xerox,New York City,New York,East,2015-02-23,First Class,0.00,18.00,0.45,40.00,10.00,0.45,12,23.55,Laurel WorkmanNew York City,Low
2015-02-11,CA-2015-103429,3,Laurel Workman,Corporate,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,Honeywell,New York City,New York,East,2015-02-23,First Class,0.00,78.00,0.33,236.00,78.67,0.33,12,23.55,Laurel WorkmanNew York City,High
2015-02-11,CA-2015-103429,5,Laurel Workman,Corporate,Geemarc AmpliPOWER60,Technology,Phones,Other,New York City,New York,East,2015-02-23,First Class,0.00,135.00,0.29,464.00,92.80,0.29,12,23.55,Laurel WorkmanNew York City,High
2015-02-11,CA-2015-103492,1,Craig Molinari,Corporate,Avery Non-Stick Binders,Office Supplies,Binders,Avery,Huntsville,Texas,Central,2015-02-19,Standard Class,0.80,-2.00,-1.75,1.00,5.00,-2.00,8,9.94,Craig MolinariHuntsville,Loss
2015-02-11,CA-2015-103492,5,Craig Molinari,Corporate,GBC Personal VeloBind Strips,Office Supplies,Binders,GBC,Huntsville,Texas,Central,2015-02-19,Standard Class,0.80,-19.00,-1.60,12.00,12.00,-1.58,8,9.94,Craig MolinariHuntsville,Loss
